Timestamp,Device,Region,Language,Index,Tag,Expected (English),Expected (Local),Actual Detected,Verdict,Error Message,ROI Image,Remark by Adib,Verify by Adib
2026-04-05 10:34:03,ION1,ENGLISH,English,1,FSI_NOT_ALLOWED,NOT ALLOWED,NOT ALLOWED,NOT ALLOWED (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:34:09,ION30,APAC,Traditional Chinese,2,FSI_PASSWORD,PASSWORD,密碼,密碼 (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:34:42,ION1,ENGLISH,English,3,FSI_12_5_KHZ,12.5 KHZ,12.5 KHZ,12.5 KHZ (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:34:48,ION30,ENGLISH,English,4,FSI_20_KHZ,20 KHZ,20 KHZ,20 KHZ (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:35:21,ION1,ENGLISH,English,5,FSI_25_KHZ,25 KHZ,25 KHZ,25 KHZ (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:35:29,ION30,ENGLISH,English,6,FSI_30_KHZ,30 KHZ,30 KHZ,30 KHZ (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:36:38,ION1,ENGLISH,English,7,FSI_ALL_ENTRIES_DELETED,ALL ENTRIES DELETED,ALL ENTRIES DELETED,ALL ENTRIES... (Conf: 66.7%),FAIL,Mismatch (Conf: 66.7%): Text misspelled or completely changed.,,"truncated, Fail",TRUE
2026-04-05 10:37:22,ION30,APAC,Traditional Chinese,8,FSI_ALL_LED_DISABLE,ALL LEDS OFF,所有LED滅,所有LED減 (Conf: 83.3%),WARN,Mismatch (Conf: 83.3%): Text misspelled or completely changed.,,Fail to detect,TRUE
2026-04-05 10:37:56,ION1,ENGLISH,English,9,FSI_ALL_LED_ENABLE,ALL LEDS ON,ALL LEDS ON,ALL LEDS ON (Conf: 100.0%),PASS,,,,TRUE
2026-04-05 10:38:39,ION30,APAC,Traditional Chinese,10,FSI_ALL_MEMBER_ADDED,ALL MEMBERS HAD ADDED,所有成員 已加入,沒有成對 已加入 (Conf: 75.0%),WARN,Mismatch (Conf: 75.0%): Text misspelled or completely changed.,,Fail to detect,TRUE
